J1,J2,J3
0.229903,0.756998,0.565249
-0.030814,0.811576,0.606620
-0.286615,0.724373,0.540512
-0.492276,0.509983,0.377832
-0.611018,0.205748,0.146610
-0.621183,-0.134625,-0.112593
-0.520303,-0.450489,-0.353618
-0.325821,-0.685043,-0.532902
-0.072228,-0.795598,-0.617496
0.194924,-0.761450,-0.591360
0.427161,-0.587932,-0.458643
0.581908,-0.305811,-0.243161
0.630371,0.033952,0.015851
0.563016,0.369249,0.270927
0.391592,0.638111,0.475082
0.147255,0.790229,0.590440
-0.124950,0.796539,0.595223
-0.374317,0.655008,0.487901
-0.553937,0.391388,0.287750
-0.629588,0.054696,0.031647
-0.586372,-0.291799,-0.232468
-0.431797,-0.582423,-0.454432
-0.194662,-0.761558,-0.591444
0.080151,-0.794366,-0.616553
0.340079,-0.673718,-0.524240
0.534925,-0.421939,-0.331814
0.626616,-0.086919,-0.076231
0.596760,0.266792,0.193039
0.450480,0.570308,0.423629
0.215742,0.763843,0.570439
-0.061828,0.808651,0.604404
-0.327704,0.695025,0.518255
-0.529160,0.444628,0.328198
-0.625791,0.106560,0.071131
-0.597733,-0.252156,-0.202222
-0.449902,-0.559802,-0.437141
-0.211339,-0.754314,-0.585900
0.070313,-0.795876,-0.617709
0.338223,-0.675231,-0.525397
0.537821,-0.415956,-0.327244
0.627991,-0.070117,-0.063427
0.589658,0.291961,0.212177
0.429988,0.595879,0.443036
0.181264,0.778482,0.581536
-0.105467,0.801173,0.598735
-0.370764,0.658337,0.490427
-0.559118,0.378960,0.278306
-0.630648,0.020933,0.005936
-0.569678,-0.340828,-0.269886
-0.388347,-0.630021,-0.490822
-0.124410,-0.785067,-0.609435
0.166448,-0.772332,-0.599689
0.422278,-0.593616,-0.462988
0.588080,-0.286230,-0.228219
0.627727,0.084521,0.054355
0.531988,0.438999,0.323923
0.320858,0.700277,0.522238
0.039608,0.810946,0.606143
-0.250768,0.745990,0.556903
-0.486721,0.518729,0.384473
-0.616110,0.178348,0.125764
-0.609840,-0.200599,-0.162897
-0.468574,-0.534443,-0.417760
-0.222967,-0.748865,-0.581730
0.072775,-0.795517,-0.617434
0.352729,-0.663093,-0.516114
0.553937,-0.380324,-0.300037
0.630648,-0.010040,-0.017655
0.564865,0.364527,0.267338
0.370764,0.658337,0.490427
0.091875,0.803929,0.600824
-0.208484,0.767161,0.572953
-0.461508,0.555539,0.412419
-0.608700,0.216982,0.155155
-0.615515,-0.170857,-0.140216
-0.479645,-0.518313,-0.405434
-0.231952,-0.744427,-0.578334
0.070313,-0.795876,-0.617709
0.356598,-0.659731,-0.513543
0.559500,-0.366970,-0.289842
0.630727,0.014246,0.000843
0.552748,0.394168,0.289863
0.343318,0.682470,0.508732
0.051686,0.809824,0.605293
-0.252787,0.744865,0.556050
-0.497057,0.502249,0.371960
-0.621978,0.139643,0.096312
-0.596760,-0.255821,-0.205018
-0.426756,-0.588408,-0.459007
-0.152602,-0.776957,-0.603228
0.159269,-0.774783,-0.601565
0.432599,-0.581459,-0.453695
0.599980,-0.243469,-0.195595
0.619593,0.156621,0.109232
0.485845,0.520087,0.385504
0.231184,0.756354,0.564761
-0.081516,0.805769,0.602219
-0.374317,0.655008,0.487901
-0.573632,0.341008,0.249463
-0.628820,-0.057844,-0.054075
-0.525231,-0.441158,-0.346492
-0.288330,-0.711765,-0.553344
0.022289,-0.800396,-0.621168
0.327704,-0.683586,-0.531788
0.549671,-0.390173,-0.307557
0.630765,0.005447,-0.005859
0.549401,0.401860,0.295707
0.325821,0.696485,0.519362
0.017338,0.812235,0.607119
-0.296135,0.718026,0.535699
-0.532726,0.437513,0.322794
-0.630064,0.043448,0.023082
-0.561895,-0.361028,-0.285306
-0.345393,-0.669322,-0.520878
-0.037135,-0.799501,-0.620484
0.281455,-0.716212,-0.556746
0.525536,-0.440572,-0.346044
0.629520,-0.045205,-0.044445
0.564865,0.364527,0.267338
0.348152,0.678415,0.505657
0.037135,0.811139,0.606289
-0.284407,0.725808,0.541600
-0.529160,0.444628,0.328198
-0.630064,0.043448,0.023082
-0.558863,-0.368530,-0.291033
-0.334264,-0.678418,-0.527835
-0.017338,-0.800594,-0.621321
0.304847,-0.700518,-0.544740
0.543071,-0.404802,-0.318727
0.630765,0.005447,-0.005859
0.542791,0.416495,0.306826
0.302917,0.713342,0.532147
-0.022289,0.812035,0.606968
-0.341700,0.683809,0.509748
-0.565110,0.363896,0.266858
-0.628820,-0.057844,-0.054075
-0.514001,-0.462027,-0.362431
-0.252535,-0.733485,-0.569962
0.081516,-0.794140,-0.616380
0.392670,-0.625665,-0.487492
0.591303,-0.275374,-0.219936
0.619593,0.156621,0.109232
0.468574,0.545671,0.404928
0.181264,0.778482,0.581536
-0.159269,0.786377,0.587520
-0.453743,0.566016,0.420372
-0.615635,0.181098,0.127857
-0.596760,-0.255821,-0.205018
-0.401862,-0.616139,-0.480208
-0.087789,-0.793055,-0.615550
0.252787,-0.733344,-0.569854
0.518586,-0.453676,-0.356052
0.629915,-0.036421,-0.037752
0.552748,0.394168,0.289863
0.309414,0.708725,0.528646
-0.027515,0.811771,0.606768
-0.356598,0.671133,0.500134
-0.578013,0.328471,0.239933
-0.623958,-0.112740,-0.095910
-0.479645,-0.518313,-0.405434
-0.188369,-0.764121,-0.593405
0.161132,-0.774158,-0.601086
0.461508,-0.544298,-0.425291
0.619798,-0.144319,-0.119983
0.586372,0.302793,0.220413
0.370764,0.658337,0.490427
0.039333,0.810968,0.606160
-0.304847,0.711984,0.531117
-0.553937,0.391388,0.287750
-0.629228,-0.050824,-0.048726
-0.506232,-0.475684,-0.372864
-0.222967,-0.748865,-0.581730
0.131418,-0.783213,-0.608016
0.444467,-0.566785,-0.442478
0.616110,-0.167421,-0.137596
0.590823,0.288007,0.209171
0.375866,0.653542,0.486789
0.039608,0.810946,0.606143
-0.309894,0.708379,0.528383
-0.559500,0.378023,0.277594
-0.627727,-0.073621,-0.066097
-0.491587,-0.499895,-0.391361
-0.194662,-0.761558,-0.591444
0.166448,-0.772332,-0.599689
0.473334,-0.527614,-0.412541
0.624626,-0.106818,-0.091397
0.569678,0.351859,0.257710
0.325821,0.696485,0.519362
-0.026690,0.811817,0.606802
-0.370764,0.658337,0.490427
-0.591303,0.286358,0.207916
-0.613848,-0.180116,-0.147277
-0.429988,-0.584586,-0.456085
-0.100851,-0.790531,-0.613617
0.262834,-0.727594,-0.565454
0.537821,-0.415956,-0.327244
0.630200,0.039580,0.020137
0.507706,0.484295,0.358326
0.211339,0.765871,0.571976
-0.157937,0.786820,0.587856
-0.473334,0.538834,0.399737
-0.625791,0.106560,0.071131
-0.561895,-0.361028,-0.285306
-0.302917,-0.701874,-0.545777
0.061828,-0.797018,-0.618583
0.405457,-0.612313,-0.477282
0.607605,-0.211127,-0.170926
0.596760,0.266792,0.193039
0.375866,0.653542,0.486789
0.022014,0.812048,0.606978
-0.340079,0.685141,0.510759
-0.581908,0.316816,0.231073
-0.616925,-0.162605,-0.133925
-0.431797,-0.582423,-0.454432
-0.091875,-0.792304,-0.614975
0.281455,-0.716212,-0.556746
0.553937,-0.380324,-0.300037
0.626834,0.095374,0.062617
0.472970,0.539362,0.400138
0.147255,0.790229,0.590440
-0.232464,0.755707,0.564270
-0.527808,0.447283,0.330215
-0.630371,-0.023058,-0.027572
-0.501764,-0.483273,-0.378662
-0.188369,-0.764121,-0.593405
0.194924,-0.761450,-0.591360
0.506560,-0.475119,-0.372432
0.630648,-0.010040,-0.017655
0.520303,0.461621,0.341106
0.215742,0.763843,0.570439
-0.169897,0.782699,0.584733
-0.492276,0.509983,0.377832
-0.629915,0.047316,0.026027
-0.530206,-0.431445,-0.339073
-0.229903,-0.745457,-0.579122
0.157937,-0.775226,-0.601903
0.486196,-0.508347,-0.397819
0.629520,-0.045205,-0.044445
0.532431,0.438108,0.323246
0.231184,0.756354,0.564761
-0.159269,0.786377,0.587520
-0.488815,0.515461,0.381992
-0.629915,0.047316,0.026027
-0.527204,-0.437343,-0.343577
-0.219617,-0.750469,-0.582958
0.173869,-0.769675,-0.597656
0.499924,-0.486346,-0.381009
0.630648,-0.010040,-0.017655
0.514001,0.473171,0.349878
