J1,J2,J3
-0.234868,-0.907049,0.978102
-0.463308,-0.667889,0.719745
-0.602025,-0.299086,0.321992
-0.624778,0.131319,-0.141217
-0.528113,0.541527,-0.581724
-0.331172,0.851102,-0.913556
-0.071446,0.997421,-1.070214
0.202217,0.949731,-1.019167
0.438084,0.716711,-0.769567
0.590504,0.344916,-0.370706
0.628406,-0.091457,0.098407
0.542068,-0.506287,0.545360
0.346518,-0.818641,0.882559
0.079932,-0.967887,1.043877
-0.203580,-0.924590,0.997065
-0.445617,-0.695951,0.750041
-0.596512,-0.325100,0.350022
-0.626066,0.115855,-0.124592
-0.529306,0.538586,-0.578569
-0.326518,0.855718,-0.918499
-0.058448,0.999618,-1.072566
0.221715,0.938394,-1.007030
0.458071,0.684151,-0.734666
0.602257,0.290523,-0.312290
0.623033,-0.159752,0.171924
0.513630,-0.573190,0.617537
0.294874,-0.864951,0.932601
0.012244,-0.975379,1.051979
-0.273534,-0.881266,0.950234
-0.500449,-0.600488,0.646994
-0.619721,-0.189372,0.203816
-0.606648,0.267166,-0.287201
-0.465146,0.671904,-0.721538
-0.225790,0.935875,-1.004333
0.061158,0.999197,-1.072115
0.335801,0.846422,-0.908543
0.540047,0.511086,-0.549066
0.629085,0.067612,-0.072720
0.581326,-0.386557,0.416257
0.404663,-0.752978,0.811626
0.136653,-0.952952,1.027728
-0.162866,-0.943275,1.017266
-0.425760,-0.724877,0.781277
-0.592353,-0.343231,0.369561
-0.625758,0.119723,-0.128751
-0.519735,0.561570,-0.603224
-0.298821,0.881408,-0.946013
-0.011978,1.003865,-1.077111
0.277975,0.898835,-0.964674
0.507026,0.590160,-0.633887
0.623040,0.149756,-0.161035
0.597493,-0.320648,0.345224
0.433480,-0.713933,0.769459
0.167162,-0.941517,1.015364
-0.139368,-0.952033,1.026735
-0.413117,-0.742023,0.799793
-0.588959,-0.357237,0.384655
-0.626066,0.115855,-0.124592
-0.517085,0.567702,-0.609802
-0.288447,0.890278,-0.955511
0.006806,1.003991,-1.077246
0.300979,0.879512,-0.943983
0.526008,0.546658,-0.587228
0.628077,0.086584,-0.093120
0.580463,-0.389702,0.419647
0.391746,-0.768977,0.828906
0.106076,-0.962004,1.037517
-0.206474,-0.923087,0.995440
-0.467984,-0.660073,0.711307
-0.613664,-0.233425,0.251258
-0.608637,0.255852,-0.275046
-0.455622,0.688298,-0.739112
-0.192645,0.954873,-1.024671
0.116934,0.986199,-1.058203
0.398904,0.772951,-0.829835
0.584519,0.369295,-0.396884
0.626367,-0.122279,0.131582
0.511044,-0.578708,0.623491
0.264987,-0.887375,0.956836
-0.050040,-0.972559,1.048930
-0.352530,-0.812566,0.875995
-0.563854,-0.445043,0.479312
-0.630126,0.040422,-0.043479
