J1,J2,J3
-0.999771,1.006080,0.723904
-1.155908,0.667867,0.467620
-1.243809,0.290163,0.180780
-1.257489,-0.104769,-0.119860
-1.195337,-0.493263,-0.416314
-1.060321,-0.851655,-0.690428
-0.859928,-1.157728,-0.925005
-0.605818,-1.392116,-1.104943
-0.313206,-1.539567,-1.218272
0.000000,-1.589991,-1.257051
0.314272,-1.539218,-1.218003
0.609676,-1.389408,-1.102862
0.867150,-1.149066,-0.918361
1.069756,-0.832655,-0.675880
1.203838,-0.459811,-0.390759
1.259976,-0.054198,-0.081322
1.233706,0.357940,0.232301
1.125924,0.749445,0.529485
0.942957,1.094033,0.790463
0.696278,1.368092,0.997629
0.401864,1.552362,1.136726
0.079215,1.633375,1.197828
-0.249899,1.604534,1.176079
-0.562896,1.466747,1.072118
-0.837948,1.228528,0.892174
-1.055526,0.905568,0.647795
-1.199829,0.519762,0.355224
-1.259976,0.097784,0.034423
-1.230888,-0.330728,-0.292200
-1.113769,-0.735228,-0.601313
-0.916176,-1.086437,-0.870328
-0.651620,-1.358484,-1.079107
-0.338730,-1.530851,-1.211570
0.000000,-1.589991,-1.257051
0.339790,-1.530473,-1.211280
0.655386,-1.355571,-1.076870
0.922957,-1.077212,-0.863254
1.121927,-0.715283,-0.586054
1.236607,-0.296317,-0.265939
1.257489,0.148367,0.072922
1.182097,0.584941,0.404701
1.015332,0.979624,0.703876
0.769265,1.301310,0.947180
0.462361,1.524094,1.115398
0.118177,1.629457,1.194874
-0.236395,1.607933,1.178642
-0.573217,1.460079,1.067085
-0.865149,1.196644,0.868070
-1.088278,0.837897,0.596528
-1.223920,0.412139,0.273485
-1.260247,-0.046463,-0.075429
-1.193390,-0.500590,-0.421912
-1.027920,-0.912780,-0.737239
-0.776659,-1.248528,-0.994681
-0.459799,-1.479207,-1.171867
-0.103372,-1.584575,-1.252885
0.262834,-1.554651,-1.229871
0.607748,-1.390764,-1.103904
0.901675,-1.105687,-0.885089
1.118893,-0.722780,-0.591789
1.239959,-0.274213,-0.249073
1.253518,0.201626,0.113445
1.157445,0.663345,0.464190
0.959223,1.070120,0.772370
0.675492,1.385343,1.010658
0.330769,1.580016,1.157587
-0.044579,1.635555,1.199472
-0.416963,1.545725,1.131718
-0.752584,1.317470,0.959390
-1.020532,0.970525,0.696987
-1.195688,0.535813,0.367410
-1.261144,0.052759,0.000145
-1.209916,-0.434232,-0.371223
-1.045781,-0.879833,-0.712005
-0.783147,-1.242009,-0.989677
-0.445928,-1.486018,-1.177103
-0.065476,-1.587820,-1.255381
0.322262,-1.536558,-1.215959
0.680134,-1.335852,-1.061725
0.973373,-1.003734,-0.806927
1.173026,-0.571205,-0.475876
1.258888,-0.079496,-0.100600
1.221623,0.423744,0.282302
1.063884,0.888993,0.635241
0.800286,1.269730,0.923316
0.456209,1.527175,1.117722
0.065476,1.634386,1.198590
-0.332893,1.579274,1.157027
-0.698572,1.366143,0.996157
-0.994039,1.015548,0.731070
-1.188495,0.562438,0.387621
-1.261144,0.052759,0.000145
-1.203509,-0.461153,-0.391785
-1.020532,-0.925911,-0.747298
-0.730321,-1.292620,-1.028529
-0.362524,-1.522062,-1.204812
0.044579,-1.588985,-1.256277
0.447987,-1.485022,-1.176337
0.804533,-1.219891,-0.972702
1.075547,-0.820695,-0.666724
1.231128,-0.329355,-0.291152
1.253518,0.201626,0.113445
1.139244,0.714654,0.503105
0.899749,1.153247,0.835254
0.560432,1.468317,1.073303
0.158118,1.623818,1.190622
-0.262834,1.601095,1.173485
-0.655386,1.401337,1.022736
-0.975120,1.045803,0.753969
-1.185328,0.573705,0.396173
-1.261313,0.037979,-0.011110
-1.193390,-0.500590,-0.421912
-0.988252,-0.980225,-0.788912
-0.668505,-1.345244,-1.068939
-0.270366,-1.552572,-1.228272
0.160302,-1.576937,-1.247010
0.573217,-1.414123,-1.121850
0.919573,-1.081833,-0.866798
1.157882,-0.618001,-0.511651
1.259024,-0.076686,-0.098458
